Nomicon,Bourbont
Nomicon,Svagnar
Nomicon,Khatepra
Nomicon,The Twisted Finger (tavern)
Nomicon,Svalith
Nomicon,Curthelm
Nomicon,Uetria
Nomicon,Raxon
Nomicon,Tualeann
Nomicon,Vhechuor
Nomicon,The Street of Hermits
Nomicon,Tentir
Nomicon,Bernadeta the Passionate
Nomicon,Thonwen
Nomicon,Yomodo
Nomicon,Cairnshar
Nomicon,"Fatharibul, City of the Spitting Sentinel"
Nomicon,Mugrai
Nomicon,Modwgawn the Sorceror
Nomicon,"Zusana, the City of Sapphires"
Nomicon,Istetias
Nomicon,Resdah of Danh Hal
Nomicon,Ewarafa
Nomicon,Vorissia
Nomicon,Anhudekah
Nomicon,Sybelle
Nomicon,The Mysterious Empire of Pru Yarak
Nomicon,"Kowah, the City of Emperors"
Nomicon,Anwafapan
Nomicon,Kyres
Nomicon,Piozaria
Nomicon,The Blind Mule (tavern)
Nomicon,The Ox and Crowbar (tavern or inn)
Nomicon,Beatriz the Reckless
Nomicon,Yhodaya
Nomicon,The Town of Curbassin
Nomicon,Kyaptis
Nomicon,Kobronogua
Nomicon,The Iron Doublet (tavern)
Nomicon,Abashapur
Nomicon,Endr
Nomicon,Ispen Dwr
Nomicon,Saramodas
Nomicon,Ulvin
Nomicon,Indoin
Nomicon,Nhul Murai
Nomicon,Irbas
Nomicon,Lytios
Nomicon,Yhejalagg
Nomicon,Amil
Nomicon,Maneth
Nomicon,Tcholat
Nomicon,"Guzyolny, the City of Scythes"
Nomicon,Nuath Bhaun
Nomicon,Donato
Nomicon,Atastra
Nomicon,Aern Tac
Nomicon,Yogirath
Nomicon,Cybrand
Nomicon,Majawai
Nomicon,"Lingaloor, the City of Shears"
Nomicon,Agathe
Nomicon,Farim
Nomicon,Oxalles
Nomicon,Tabaphanda
Nomicon,Karscoon
Nomicon,Sholga-Tuathu
Nomicon,Rhilf the Hawk
Nomicon,Yioul the Astrological
Nomicon,Cutughar
Nomicon,Jolga-Jantu
Nomicon,Rahrabai
Nomicon,Hloachuru
Nomicon,Lha-Tar
Nomicon,Speaker Street
Nomicon,The Swan and Bottle (tavern or inn)
Nomicon,Chrestaeus
Nomicon,Iadrioth
Nomicon,Xe-Khuar
Nomicon,The Street of Tricksters
Nomicon,Usmol
Nomicon,Ezolida d’Oorcuin
Nomicon,Yoguator
Nomicon,Rinsan
Nomicon,"Ajaariq, City of the Odorous Clergy"
Nomicon,Bahwah of Daripur
Nomicon,Aumaramur
Nomicon,Tsubrucanth
Nomicon,Gisvalon
Nomicon,Calenetlus
Nomicon,Fedra
Nomicon,Sir George of Granwys
Nomicon,"Bhijar, the City of Mushrooms"
Nomicon,The Mad Hammer (tavern)
Nomicon,Oswald
Nomicon,Foma
Nomicon,The Tall Hart (tavern)
Nomicon,Xophoon
Nomicon,Ulsto
Nomicon,Uaibha
Nomicon,Yratzande
Nomicon,Port Jaulze
Nomicon,Quihras
Nomicon,Kos-Haga
Nomicon,Goprasad
Nomicon,Urab
Nomicon,Imahar
Nomicon,Esclarmonda
Nomicon,The Toad and Pitcher (tavern or inn)
Nomicon,"Mhemuduthe, the City of Chaos"
Nomicon,Qimelag
Nomicon,Ulsend
Nomicon,Oxybiades
Nomicon,Siatuara
Nomicon,The Golden Acorn (tavern)
Nomicon,Groebonde
Nomicon,Meti
Nomicon,Ghi-Ghaor
Nomicon,Oalm Kojo
Nomicon,Rhan Rhis
Nomicon,The Khefa Hills
Nomicon,Olebola
Nomicon,Aztza
Nomicon,Olion
Nomicon,Kiall
